Victorious_camp;Abaddon?;ÊAlchemist?;ÊAncient Apparition?;ÊAnti-Mage?;ÊArc Warden?;ÊAxe?;ÊBane?;ÊBatrider?;ÊBeastmaster?;ÊBloodseeker?;ÊBounty Hunter?;ÊBrewmaster?;ÊBristleback?;ÊBroodmother?;ÊCentaur Warrunner?;ÊChaos Knight?;ÊChen?;ÊClinkz?;ÊClockwerk?;ÊCrystal Maiden?;ÊDark Seer?;ÊDazzle?;ÊDeath Prophet?;ÊDisruptor?;ÊDoom?;ÊDragon Knight?;ÊDrow Ranger?;ÊEarth Spirit?;ÊEarthshaker?;ÊElder Titan?;ÊEmber Spirit?;ÊEnchantress?;ÊEnigma?;ÊFaceless Void?;ÊGyrocopter?;ÊHuskar?;ÊInvoker?;ÊIo?;ÊJakiro?;ÊJuggernaut?;ÊKeeper of the Light?;ÊKunkka?;ÊLegion Commander?;ÊLeshrac?;ÊLich?;ÊLifestealer?;ÊLina?;ÊLion?;ÊLone Druid?;ÊLuna?;ÊLycan?;ÊMagnus?;ÊMedusa?;ÊMeepo?;ÊMirana?;ÊMonkey King?;ÊMorphling?;ÊNaga Siren?;ÊNature's Prophet?;ÊNecrophos?;ÊNight Stalker?;ÊNyx Assassin?;ÊOgre Magi?;ÊOmniknight?;ÊOracle?;ÊOutworld Devourer?;ÊPhantom Assassin?;ÊPhantom Lancer?;ÊPhoenix?;ÊPuck?;ÊPudge?;ÊPugna?;ÊQueen of Pain?;ÊRazor?;ÊRiki?;ÊRubick?;ÊSand King?;ÊShadow Demon?;ÊShadow Fiend?;ÊShadow Shaman?;ÊSilencer?;ÊSkywrath Mage?;ÊSlardar?;ÊSlark?;ÊSniper?;ÊSpectre?;ÊSpirit Breaker?;ÊStorm Spirit?;ÊSven?;ÊTechies?;ÊTemplar Assassin?;ÊTerrorblade?;ÊTidehunter?;ÊTimbersaw?;ÊTinker?;ÊTiny?;ÊTreant Protector?;ÊTroll Warlord?;ÊTusk?;ÊUnderlord?;ÊUndying?;ÊUrsa?;ÊVengeful Spirit?;ÊVenomancer?;ÊViper?;ÊVisage?;ÊWarlock?;ÊWeaver?;ÊWindranger?;ÊWinter Wyvern?;ÊWitch Doctor?;ÊWraith King?;ÊZeus?
1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
-1;1;0;0;0;-1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;-1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;-1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0
1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;-1;0;0;0;0;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;-1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;1;0;0;0;0;-1;0;0;0;0;0;0;0;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0
-1;0;0;0;0;-1;1;-1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;-1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
